Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
32,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6397200418373232,0.41196078239704403,0.3578850646621245,0.5641587081260203,0.5842562633796347,0.5441980039295804,0.5544813833686866,0.5731420025219695,0.5702876804723317,0.5676679602349928,0.5394082169284757,0.3,9,350,100
33,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6174621948954556,0.3887840783570053,0.33891164309244287,0.5847156919287202,0.5376193781096958,0.5617051641723932,0.466046275207476,0.5575800823061358,0.5378539799219949,0.5206498470200682,0.5460748184279723,0.3,9,350,100
34,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6318804312763316,0.41577306184690277,0.3876306194465352,0.5380103811301943,0.5588801673492928,0.5353808858173429,0.49648586035327125,0.574666914301913,0.5462409947116842,0.5330250926188405,0.5513729093557248,0.3,9,350,100
35,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6352039569505674,0.40494227817909895,0.34797313809249175,0.552487267964145,0.5924380015835622,0.5621450425704538,0.538665311189529,0.5967683600355813,0.5243643757148024,0.5418031104290281,0.5421256879209392,0.3,9,350,100
36,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6340309478890724,0.38245960450044475,0.35400435968367855,0.4497609994037204,0.5524286175110703,0.557540982004086,0.45403270740266466,0.6055757030723062,0.5417346849004409,0.5504638273330662,0.5348334815886453,0.3,9,350,100
37,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6386741087574902,0.40225413241317287,0.4148444296732192,0.5656640697549389,0.5735330055424678,0.5002003890480053,0.523865846863667,0.5913725183527043,0.5391051895875896,0.552145140321209,0.5335431716210007,0.3,9,350,100
38,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6413818046744411,0.41684832015327317,0.33362332724020294,0.5572184045121749,0.5513240339781624,0.5352635849111934,0.5271991476134154,0.5573748057203742,0.5583620883471325,0.5534159001378286,0.5713042883256273,0.3,9,350,100
39,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6386154583044154,0.3956364062912386,0.38873520297944303,0.49040576338452213,0.6031612594207291,0.5440025024193312,0.5317445577267085,0.5681762641616407,0.5538460034603767,0.5582154622144456,0.5638947810871839,0.3,9,350,100
40,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6311375255373848,0.39975171308198354,0.4172295480982591,0.5611577599436955,0.5301805456447151,0.5548919365402097,0.5533572496847539,0.5074241698517121,0.5485283623815994,0.5333085698087018,0.5520864898681342,0.3,9,350,100
41,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6364551666161621,0.399526886345197,0.39869600492663804,0.5198385157525341,0.5694079236762104,0.5337777734332998,0.5698380269987585,0.5843442390592467,0.5530542223438676,0.5551656386545586,0.5624382948358276,0.3,9,350,100
