Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,39,4,3,10,0.6471226927252985,0.762214983713355,0.7633007600434311,0.8946796959826275,0.9001085776330076,0.8762214983713354,0.8935939196525515,0.8849077090119435,0.8881650380021715,0.9044516829533116
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,40,4,3,10,0.7252985884907709,0.6851248642779587,0.7024972855591748,0.8827361563517915,0.9044516829533116,0.8946796959826275,0.8859934853420195,0.8892508143322475,0.9087947882736156,0.9109663409337676
0000000111,6,"[1, 2, 3]",0.8002171552660152,41,4,3,10,0.744842562432139,0.6840390879478827,0.7687296416938111,0.9022801302931596,0.8870792616720955,0.8892508143322475,0.8892508143322475,0.9109663409337676,0.9044516829533116,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,41,4,3,10,0.744842562432139,0.6840390879478827,0.7687296416938111,0.9022801302931596,0.8870792616720955,0.8892508143322475,0.8892508143322475,0.9109663409337676,0.9044516829533116,0.9109663409337676
0000000111,6,"[1, 2, 3]",0.7871878393051032,42,4,3,10,0.7079261672095548,0.761129207383279,0.7654723127035831,0.9163952225841476,0.8914223669923995,0.9033659066232356,0.8979370249728555,0.9131378935939196,0.8881650380021715,0.8751357220412594
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,42,4,3,10,0.7079261672095548,0.761129207383279,0.7654723127035831,0.9163952225841476,0.8914223669923995,0.9033659066232356,0.8979370249728555,0.9131378935939196,0.8881650380021715,0.8751357220412594
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,43,4,3,10,0.7676438653637351,0.6492942453854506,0.7252985884907709,0.8979370249728555,0.8783930510314875,0.8881650380021715,0.9174809989142236,0.8870792616720955,0.8946796959826275,0.8838219326818675
0000000111,6,"[1, 2, 3]",0.8360477741585234,44,4,3,10,0.7166123778501629,0.7307274701411509,0.8023887079261672,0.8957654723127035,0.8968512486427795,0.8751357220412594,0.9055374592833876,0.9163952225841476,0.8794788273615635,0.8816503800217155
1101111111,894,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.9109663409337676,44,4,3,10,0.7166123778501629,0.7307274701411509,0.8023887079261672,0.8957654723127035,0.8968512486427795,0.8751357220412594,0.9055374592833876,0.9163952225841476,0.8794788273615635,0.8816503800217155
0000000111,6,"[1, 2, 3]",0.8338762214983714,45,4,3,10,0.7741585233441911,0.8045602605863192,0.755700325732899,0.9066232356134636,0.9011943539630836,0.8892508143322475,0.8968512486427795,0.8957654723127035,0.9044516829533116,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,45,4,3,10,0.7741585233441911,0.8045602605863192,0.755700325732899,0.9066232356134636,0.9011943539630836,0.8892508143322475,0.8968512486427795,0.8957654723127035,0.9044516829533116,0.9055374592833876
0000000111,6,"[1, 2, 3]",0.8023887079261672,46,4,3,10,0.749185667752443,0.6167209554831705,0.7328990228013029,0.9163952225841476,0.8740499457111836,0.8990228013029316,0.8968512486427795,0.8935939196525515,0.9109663409337676,0.8914223669923995
0000000111,6,"[1, 2, 3]",0.8219326818675353,47,4,3,10,0.7176981541802389,0.760043431053203,0.7774158523344191,0.9033659066232356,0.9033659066232356,0.8892508143322475,0.8783930510314875,0.8968512486427795,0.8794788273615635,0.9098805646036916
0111100111,486,"[1, 2, 3, 6, 7, 8, 9]",0.9001085776330076,47,4,3,10,0.7176981541802389,0.760043431053203,0.7774158523344191,0.9033659066232356,0.9033659066232356,0.8892508143322475,0.8783930510314875,0.8968512486427795,0.8794788273615635,0.9098805646036916
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9087947882736156,47,4,3,10,0.7176981541802389,0.760043431053203,0.7774158523344191,0.9033659066232356,0.9033659066232356,0.8892508143322475,0.8783930510314875,0.8968512486427795,0.8794788273615635,0.9098805646036916
0000000111,6,"[1, 2, 3]",0.7752442996742671,48,4,3,10,0.742671009771987,0.7372421281216069,0.6959826275787188,0.9131378935939196,0.9033659066232356,0.8935939196525515,0.9022801302931596,0.8783930510314875,0.8968512486427795,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,48,4,3,10,0.742671009771987,0.7372421281216069,0.6959826275787188,0.9131378935939196,0.9033659066232356,0.8935939196525515,0.9022801302931596,0.8783930510314875,0.8968512486427795,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,49,4,3,10,0.8002171552660152,0.7915309446254072,0.7209554831704669,0.8588490770901195,0.8979370249728555,0.8957654723127035,0.8827361563517915,0.9087947882736156,0.9011943539630836,0.8870792616720955
0000000111,6,"[1, 2, 3]",0.8110749185667753,50,4,3,10,0.6905537459283387,0.7035830618892508,0.7730727470141151,0.9001085776330076,0.8838219326818675,0.9109663409337676,0.8935939196525515,0.8968512486427795,0.8914223669923995,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,50,4,3,10,0.6905537459283387,0.7035830618892508,0.7730727470141151,0.9001085776330076,0.8838219326818675,0.9109663409337676,0.8935939196525515,0.8968512486427795,0.8914223669923995,0.9001085776330076
0000000110,5,"[2, 3]",0.7274701411509229,1,4,3,100,0.8121606948968513,0.6134636264929425,0.6807817589576547,0.9055374592833876,0.8990228013029316,0.9011943539630836,0.9142236699239956,0.9044516829533116,0.8783930510314875,0.9033659066232356
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,1,4,3,100,0.8121606948968513,0.6134636264929425,0.6807817589576547,0.9055374592833876,0.8990228013029316,0.9011943539630836,0.9142236699239956,0.9044516829533116,0.8783930510314875,0.9033659066232356
0000000111,6,"[1, 2, 3]",0.8490770901194354,2,4,3,100,0.8273615635179153,0.8208469055374593,0.751357220412595,0.8925081433224755,0.9087947882736156,0.8838219326818675,0.8979370249728555,0.9044516829533116,0.9131378935939196,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,2,4,3,100,0.8273615635179153,0.8208469055374593,0.751357220412595,0.8925081433224755,0.9087947882736156,0.8838219326818675,0.8979370249728555,0.9044516829533116,0.9131378935939196,0.8957654723127035
0000000011,2,"[1, 2]",0.7850162866449512,3,4,3,100,0.7763300760043431,0.6948968512486428,0.8284473398479913,0.8675352877307275,0.8979370249728555,0.8881650380021715,0.8610206297502715,0.9055374592833876,0.9087947882736156,0.8990228013029316
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,3,4,3,100,0.7763300760043431,0.6948968512486428,0.8284473398479913,0.8675352877307275,0.8979370249728555,0.8881650380021715,0.8610206297502715,0.9055374592833876,0.9087947882736156,0.8990228013029316
0000000111,6,"[1, 2, 3]",0.8208469055374593,4,4,3,100,0.7111834961997828,0.8034744842562432,0.741585233441911,0.9087947882736156,0.8707926167209555,0.8935939196525515,0.8870792616720955,0.8599348534201955,0.9207383279044516,0.9066232356134636
0010010111,150,"[1, 2, 3, 5, 8]",0.8751357220412594,4,4,3,100,0.7111834961997828,0.8034744842562432,0.741585233441911,0.9087947882736156,0.8707926167209555,0.8935939196525515,0.8870792616720955,0.8599348534201955,0.9207383279044516,0.9066232356134636
0000000111,6,"[1, 2, 3]",0.7915309446254072,5,4,3,100,0.6221498371335505,0.747014115092291,0.755700325732899,0.9055374592833876,0.8979370249728555,0.8827361563517915,0.8827361563517915,0.8957654723127035,0.9207383279044516,0.8957654723127035
0000000111,6,"[1, 2, 3]",0.7806731813246471,6,4,3,100,0.6416938110749185,0.749185667752443,0.7687296416938111,0.8816503800217155,0.9044516829533116,0.8838219326818675,0.8870792616720955,0.9142236699239956,0.8979370249728555,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,6,4,3,100,0.6416938110749185,0.749185667752443,0.7687296416938111,0.8816503800217155,0.9044516829533116,0.8838219326818675,0.8870792616720955,0.9142236699239956,0.8979370249728555,0.8935939196525515
0000000111,6,"[1, 2, 3]",0.8154180238870793,7,4,3,100,0.745928338762215,0.7665580890336591,0.7709011943539631,0.9044516829533116,0.9055374592833876,0.9196525515743756,0.9229098805646037,0.8935939196525515,0.9022801302931596,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,8,4,3,100,0.7785016286644951,0.7958740499457112,0.7176981541802389,0.8838219326818675,0.8957654723127035,0.9011943539630836,0.8816503800217155,0.8957654723127035,0.9142236699239956,0.8762214983713354
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,9,4,3,100,0.7958740499457112,0.7719869706840391,0.7676438653637351,0.8892508143322475,0.8925081433224755,0.8935939196525515,0.9207383279044516,0.8979370249728555,0.9098805646036916,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,10,4,3,100,0.6840390879478827,0.747014115092291,0.741585233441911,0.8794788273615635,0.8925081433224755,0.8914223669923995,0.8935939196525515,0.9120521172638436,0.8979370249728555,0.9098805646036916
0000000111,6,"[1, 2, 3]",0.8110749185667753,12,4,3,100,0.758957654723127,0.7774158523344191,0.7209554831704669,0.9066232356134636,0.8957654723127035,0.9033659066232356,0.9098805646036916,0.8523344191096635,0.8925081433224755,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,12,4,3,100,0.758957654723127,0.7774158523344191,0.7209554831704669,0.9066232356134636,0.8957654723127035,0.9033659066232356,0.9098805646036916,0.8523344191096635,0.8925081433224755,0.9066232356134636
0000000111,6,"[1, 2, 3]",0.8143322475570033,13,4,3,100,0.7372421281216069,0.741585233441911,0.749185667752443,0.8849077090119435,0.9011943539630836,0.9055374592833876,0.9001085776330076,0.9131378935939196,0.8957654723127035,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,13,4,3,100,0.7372421281216069,0.741585233441911,0.749185667752443,0.8849077090119435,0.9011943539630836,0.9055374592833876,0.9001085776330076,0.9131378935939196,0.8957654723127035,0.9022801302931596
0000000111,6,"[1, 2, 3]",0.8023887079261672,14,4,3,100,0.740499457111835,0.7741585233441911,0.6938110749185668,0.9001085776330076,0.8664495114006515,0.9120521172638436,0.8773072747014115,0.8968512486427795,0.8957654723127035,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,14,4,3,100,0.740499457111835,0.7741585233441911,0.6938110749185668,0.9001085776330076,0.8664495114006515,0.9120521172638436,0.8773072747014115,0.8968512486427795,0.8957654723127035,0.9022801302931596
0000000111,6,"[1, 2, 3]",0.7915309446254072,15,4,3,100,0.6786102062975027,0.7361563517915309,0.6720955483170467,0.8903365906623235,0.9087947882736156,0.8783930510314875,0.8957654723127035,0.8903365906623235,0.8773072747014115,0.9348534201954397
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9153094462540716,15,4,3,100,0.6786102062975027,0.7361563517915309,0.6720955483170467,0.8903365906623235,0.9087947882736156,0.8783930510314875,0.8957654723127035,0.8903365906623235,0.8773072747014115,0.9348534201954397
