Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
0000111100,59,"[3, 4, 5, 6]",0.22631578947368422,45,4,8,10,0.34842105263157896,0.33157894736842103,0.1368421052631579,0.1863157894736842,0.22526315789473683,0.2231578947368421,0.4610526315789474,0.37157894736842106,0.41368421052631577,0.5010526315789474
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4705263157894737,46,4,8,10,0.35789473684210527,0.29473684210526313,0.30842105263157893,0.2578947368421053,0.26421052631578945,0.30736842105263157,0.21894736842105264,0.4242105263157895,0.5736842105263158,0.4421052631578947
0010011001,152,"[1, 4, 5, 8]",0.2789473684210526,47,4,8,10,0.24421052631578946,0.35157894736842105,0.3873684210526316,0.22105263157894736,0.24421052631578946,0.3726315789473684,0.3031578947368421,0.2631578947368421,0.5621052631578948,0.3736842105263158
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.4442105263157895,47,4,8,10,0.24421052631578946,0.35157894736842105,0.3873684210526316,0.22105263157894736,0.24421052631578946,0.3726315789473684,0.3031578947368421,0.2631578947368421,0.5621052631578948,0.3736842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5147368421052632,48,4,8,10,0.2863157894736842,0.1936842105263158,0.18842105263157893,0.2578947368421053,0.3568421052631579,0.48947368421052634,0.32210526315789473,0.32842105263157895,0.4357894736842105,0.4105263157894737
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.41578947368421054,49,4,8,10,0.3063157894736842,0.27157894736842103,0.2431578947368421,0.3336842105263158,0.3410526315789474,0.3031578947368421,0.38,0.2231578947368421,0.5031578947368421,0.5673684210526316
0001111110,125,"[2, 3, 4, 5, 6, 7]",0.25473684210526315,50,4,8,10,0.2894736842105263,0.24526315789473685,0.16105263157894736,0.24842105263157896,0.20421052631578948,0.25157894736842107,0.24947368421052632,0.4,0.5368421052631579,0.47157894736842104
0010011111,158,"[1, 2, 3, 4, 5, 8]",0.2905263157894737,1,4,8,100,0.23473684210526316,0.21157894736842106,0.26421052631578945,0.25894736842105265,0.21157894736842106,0.39263157894736844,0.32526315789473687,0.24,0.5515789473684211,0.4905263157894737
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6157894736842106,2,4,8,100,0.2789473684210526,0.3663157894736842,0.1957894736842105,0.48210526315789476,0.42947368421052634,0.31473684210526315,0.3136842105263158,0.2873684210526316,0.4863157894736842,0.5715789473684211
0010110100,179,"[3, 5, 6, 8]",0.2631578947368421,3,4,8,100,0.2905263157894737,0.3894736842105263,0.1957894736842105,0.32526315789473687,0.2505263157894737,0.20210526315789473,0.4726315789473684,0.2536842105263158,0.36105263157894735,0.48105263157894734
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5221052631578947,3,4,8,100,0.2905263157894737,0.3894736842105263,0.1957894736842105,0.32526315789473687,0.2505263157894737,0.20210526315789473,0.4726315789473684,0.2536842105263158,0.36105263157894735,0.48105263157894734
0011011011,218,"[1, 2, 4, 5, 7, 8]",0.3,4,4,8,100,0.2873684210526316,0.19263157894736843,0.3294736842105263,0.27578947368421053,0.29894736842105263,0.4231578947368421,0.17578947368421052,0.2810526315789474,0.4126315789473684,0.5768421052631579
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.32842105263157895,5,4,8,100,0.2673684210526316,0.25473684210526315,0.22210526315789475,0.3063157894736842,0.24,0.29473684210526313,0.16210526315789472,0.2968421052631579,0.5547368421052632,0.4652631578947368
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.36105263157894735,7,4,8,100,0.26421052631578945,0.22526315789473683,0.26631578947368423,0.23894736842105263,0.23894736842105263,0.2094736842105263,0.3463157894736842,0.23894736842105263,0.4747368421052632,0.48
