Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Iter
8,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4575562072336266,0.05249393587313237,0.4300097751710655,0.05107084375567227,0.6108895405669599,0.12044225902921571,0.5967350928641251,0.11249406691068771,0.6048875855327468,0.11900846551140049,0.5810557184750733,0.10043747130520168,0.5990420332355816,0.11546575600418939,0.5801759530791789,0.10722828634909007,0.5893841642228739,0.1155742987792153,0.5598044965786901,0.10578461648219463,0.6394134897360704,0.5,10
9,0000000011,"1,2",0.45304007820136855,0.0433873446095287,0.43513196480938415,0.046520254476969454,,,,,,,,,,,,,,,,,0.4629325513196481,0.5,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.45304007820136855,0.0433873446095287,0.43513196480938415,0.046520254476969454,0.6008602150537634,0.11485989459057608,0.5847507331378299,0.11517707173633428,0.6027174975562072,0.11970288830168017,0.5850439882697948,0.10061618410731106,0.6066862170087977,0.11753020373955554,0.5829130009775171,0.1092924781150503,0.5886608015640273,0.1196678644332864,0.567624633431085,0.11324581588970806,0.624652981427175,0.5,10
10,0000000011,"1,2",0.4532355816226784,0.04491569373252641,0.42932551319648093,0.05020276500855287,,,,,,,,,,,,,,,,,0.4589638318670577,0.5,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4532355816226784,0.04491569373252641,0.42932551319648093,0.05020276500855287,0.6164027370478984,0.11823681611189699,0.5930205278592375,0.11819956131652042,0.6062365591397849,0.11851738402042299,0.5903616813294232,0.10170068202107815,0.6070576735092864,0.11449783278216306,0.5809579667644184,0.10360766721563276,0.5871945259042033,0.11836022338675593,0.5703030303030303,0.11176137440444972,0.6336852394916911,0.5,10
1,0000000010,2,,,0.4036363636363636,0.03017269475930888,,,,,,,,,,,,,,,,,0.4134310850439883,0.5,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.463030303030303,0.06833251612779175,0.4036363636363636,0.03017269475930888,0.6069403714565005,0.11565246651860821,0.601642228739003,0.11645687317931415,0.6078201368523949,0.11814304461942256,0.5761485826001955,0.10492518963975643,0.610830889540567,0.12513483891436655,0.5939980449657869,0.10908620797400334,0.5781427174975562,0.11303993250843641,0.555386119257087,0.09905623575899149,0.6455522971652004,0.5,100
2,0000000011,"1,2",0.4613294232649071,0.07002388478060802,0.41685239491691106,0.03347005396282561,,,,,,,,,,,,,,,,,0.4746432062561095,0.5,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4613294232649071,0.07002388478060802,0.41685239491691106,0.03347005396282561,0.6040469208211143,0.11338407615494529,0.6049657869012708,0.11780156386094497,0.6120039100684262,0.1172253065172386,0.5780254154447703,0.10206925352658287,0.6049071358748778,0.12586571226241655,0.5914565004887585,0.10960856595086321,0.5815053763440861,0.10850372212722577,0.5587292277614858,0.10204786085634861,0.6288367546432062,0.5,100
3,0000000011,"1,2",0.460058651026393,0.06927239009676656,0.39732160312805476,0.021720718955395298,,,,,,,,,,,,,,,,,0.46498533724340174,0.5,100
